CW-Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance (m.),270,,,260,,,250,,,240,,,230,,,220,,,210,,,200,,,190,,,180,,
0.35,12:22:45,12:22:48,65,12:27:39,12:27:39,65,12:33:16,12:33:19,68,12:39:03,12:39:04,60,12:43:59,12:43:59,61,13:00:50,13:00:50,63,13:11:41,13:11:41,58,13:25:01,13:25:02,70,13:33:32,13:33:32,63,13:42:33,13:42:33,56
0.4,12:23:02,12:23:04,62,12:27:50,12:27:52,58,12:33:31,12:33:31,74,12:39:17,12:39:19,62,12:44:10,12:44:13,57,13:01:22,13:01:23,63,13:11:59,13:11:59,58,13:25:17,13:25:17,62,13:34:06,13:34:06,63,13:42:48,13:42:48,56
0.45,12:23:16,12:23:19,75,12:28:02,12:28:05,67,12:33:41,12:33:46,68,12:39:29,12:39:30,61,12:44:22,12:44:23,65,13:01:54,13:01:54,63,13:12:13,13:12:14,58,13:25:31,13:25:32,60,13:34:22,13:34:23,68,13:43:02,13:43:02,56
0.5,12:23:30,12:23:30,78,12:28:19,12:28:22,72,12:33:55,12:33:56,68,12:39:39,12:39:43,66,12:44:36,12:44:38,75,13:02:07,13:02:07,63,13:12:56,13:12:57,58,13:25:49,13:25:49,65,13:35:19,13:35:19,68,13:43:20,13:43:20,56
0.55,12:23:44,12:23:44,63,12:28:31,12:28:36,64,12:34:09,12:34:10,70,12:39:53,12:39:54,69,12:44:51,12:44:53,62,13:02:23,13:02:23,63,13:13:57,13:13:57,64,13:26:23,13:26:23,77,13:35:59,13:36:03,77,13:43:38,13:43:38,68
0.6,12:23:59,12:24:02,72,12:28:45,12:28:46,70,12:34:20,12:34:20,80,12:40:04,12:40:05,73,12:45:05,12:45:05,61,13:02:39,13:02:40,70,13:14:20,13:14:21,73,13:26:41,13:26:41,77,13:36:30,13:36:35,72,13:43:57,13:43:58,73
0.65,12:24:12,12:24:14,75,12:29:05,12:29:06,74,12:34:33,12:34:36,70,12:40:16,12:40:16,80,12:45:15,12:45:15,62,13:02:54,13:02:54,69,13:14:39,13:14:39,73,13:27:59,13:27:59,64,13:36:53,13:36:54,70,13:44:22,13:44:23,65
0.7,12:24:26,12:24:26,75,12:29:16,12:29:33,66,12:34:44,12:34:47,67,12:40:28,12:40:28,77,12:45:25,12:45:25,62,13:03:29,13:03:30,70,13:14:53,13:14:53,73,13:27:59,13:28:28,71,13:37:16,13:37:16,71,13:45:02,13:45:03,77
0.75,12:24:39,12:24:39,67,12:30:20,12:30:20,66,12:34:56,12:34:56,69,12:40:38,12:40:40,75,12:45:35,12:45:35,70,13:05:05,13:05:06,70,13:15:09,13:15:09,73,13:28:42,13:28:44,68,13:37:40,13:37:40,67,13:46:57,13:46:58,77
0.8,12:24:49,12:24:50,72,12:30:37,12:30:37,73,12:35:11,12:35:15,75,12:40:58,12:41:01,70,12:45:47,12:45:47,69,13:05:21,13:05:21,63,13:15:24,13:15:24,73,13:28:58,13:28:59,70,13:38:27,13:38:28,73,13:47:26,13:47:27,77
0.85,12:25:02,12:25:06,85,12:30:50,12:30:50,72,12:35:23,12:35:26,74,12:41:10,12:41:10,72,12:46:08,12:46:09,71,13:05:53,13:05:53,72,13:15:39,13:15:39,76,13:29:19,13:29:24,74,13:38:46,13:38:46,73,13:47:46,13:47:46,71
0.9,12:25:17,12:25:19,71,12:31:04,12:31:08,70,12:35:36,12:35:36,74,12:41:21,12:41:23,83,12:46:20,12:46:20,71,13:06:15,13:06:16,72,13:15:56,13:15:56,70,13:29:36,13:29:37,71,13:39:08,13:39:09,72,13:48:01,13:48:01,71
0.95,12:25:34,12:25:34,73,12:31:17,12:31:18,70,12:35:46,12:35:48,74,12:41:37,12:41:40,80,12:46:33,12:46:33,71,13:06:37,13:06:38,72,13:16:12,13:16:13,77,13:29:57,13:29:58,71,13:39:29,13:39:29,72,13:48:16,13:48:16,71
1,12:25:46,12:25:46,76,12:31:27,12:31:28,70,12:35:48,12:36:08,82,12:42:00,12:42:00,76,12:46:49,12:46:49,71,13:07:02,13:07:03,73,13:16:28,13:16:28,77,13:30:42,13:30:45,76,13:39:45,13:39:45,72,13:48:31,13:48:32,71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCW-Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance (m.),270,,,280,,,290,,,300,,,310,,,320,,,330,,,340,,,350,,,360,,
,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI
0.5,13:59:03,13:59:04,44
0.1,14:00:01,14:00:01,52
0.15,14:00:33,14:00:33,53
0.2,14:00:58,14:00:58,53
0.25,14:01:38,14:01:39,53
0.3,14:02:08,14:02:08,53
0.35,14:02:42,14:02:42,53
0.4,14:03:06,14:03:06,53
0.45,14:03:30,14:03:30,53
0.5,14:04:21,14:04:22,67
0.55,14:04:44,14:04:45,67
0.6,14:05:09,14:05:09,67
0.65,14:05:28,14:05:28,67
0.7,14:05:41,14:05:41,67
0.75,14:06:05,14:06:05,67
0.8,14:06:41,14:06:41,67
0.85,14:07:11,14:07:11,67
0.9,14:07:44,14:07:44,67
0.95,14:08:09,14:08:09,67
1,14:08:32,14:08:32,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCW-Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance (m.),90,,,100,,,110,,,120,,,130,,,140,,,150,,,160,,,170,,,180,,
,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI
0.5
0.1
0.15
0.2
0.25
0.3
0.35
0.4
0.45
0.5
0.55
0.6
0.65
0.7
0.75
0.8
0.85
0.9
0.95
1

13:48:30.873,13:48:31.156,71
